rating,gpa,white,female,tech_skills,unpaid_intshp,top_intshp,second_intshp
1,3.62,1,1,0,0,1,1
7,3.55,1,0,0,1,1,1
1,3.15,1,0,0,1,1,1
5,3.12,1,0,0,1,1,1
3,3.1,1,0,0,0,1,1
4,3.11,1,1,1,0,1,1
6,3.58,1,1,1,1,1,1
9,3.29,0,1,0,1,0,0
2,3.44,0,1,0,1,0,0
4,3.36,0,0,0,1,0,0
2,3.3,1,1,0,1,0,0
5,3.96,1,1,0,1,0,0
1,3.7,1,0,1,1,0,0
1,3.03,0,0,0,1,0,0
7,3.12,1,1,0,1,0,0
1,3.5,0,1,0,0,0,1
4,3.68,1,0,0,1,0,1
4,3.61,1,0,0,1,0,1
4,3.32,0,1,1,0,0,1
1,3.26,1,0,0,0,0,1
3,3.11,1,1,1,0,0,1
4,3.96,0,0,0,0,0,1
7,3.83,1,1,1,1,0,1
3,3.21,1,1,0,0,0,1
6,3.89,1,0,0,1,0,0
6,3.77,1,1,0,1,0,0
5,3.96,0,0,0,1,0,0
3,3.57,1,1,0,1,0,0
1,3.29,0,1,0,1,0,0
5,3.87,1,0,0,1,0,0
3,3.28,1,0,0,1,0,0
3,3.73,0,0,0,1,0,0
6,3.42,1,1,0,1,0,0
5,3.91,1,1,0,1,0,0
